SCORE:,total_score,coordinate_constraint,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,res_type_constraint,rmsd,stability_pure,stability_score_full,stability_without_pssm,timer,yhh_planarity,description
SCORE:,-1257.762,10.837,0,-2737.282,487.509,-782.115,4.891,89.447,395.942,1629.313,-108.694,-92.336,-69.891,-199.536,-68.355,49.007,-89.767,1.094,47.331,174.687,0.156,lowest_energy_1819_0001,,,,,,
SCORE:,-1257.148,10.075,0,-2733.849,485.528,-782.55,4.956,89.343,393.923,1627.5,-108.849,-92.074,-68.123,-199.701,-67.044,49.324,-89.829,1.08,48.266,174.723,0.154,lowest_energy_0008_0001,,,,,,
SCORE:,-1254.772,10.139,0,-2730.389,483.985,-781.28,5.007,89.396,394.228,1624.989,-108.616,-92.044,-67.896,-199.612,-67.084,49.394,-89.604,1.064,48.23,175.167,0.153,lowest_energy_0808_0001,,,,,,
SCORE:,-1254.457,10.108,0,-2734.91,486.607,-781.43,4.96,89.369,395.057,1628.059,-108.568,-92.092,-67.984,-199.424,-67.436,49.253,-89.634,1.044,48.324,174.087,0.153,lowest_energy_1808_0001,,,,,,
SCORE:,-1253.76,10.594,0,-2736.096,487.471,-779.959,4.948,89.37,394.369,1628.985,-108.241,-92.001,-68.239,-199.416,-68.209,49.695,-89.305,1.137,47.974,173.008,0.154,lowest_energy_1818_0001,,,,,,
SCORE:,-1253.621,10.136,0,-2735.585,487.305,-781.856,4.951,89.282,395.471,1628.207,-108.41,-92.055,-68.013,-199.474,-67.484,49.456,-89.637,1.037,48.174,174.719,0.153,lowest_energy_0015_0001,,,,,,
SCORE:,-1253.594,10.302,0,-2735.975,487.503,-779.934,4.964,89.363,395.073,1626.432,-107.985,-92.052,-68.274,-199.16,-67.887,50.027,-89.404,1.098,47.881,174.28,0.153,lowest_energy_0001_0001,,,,,,
SCORE:,-1253.571,10.229,0,-2733.578,484.838,-782.157,4.997,89.335,395.618,1627.717,-108.589,-91.93,-67.919,-199.663,-67.141,49.459,-89.471,1.044,48.325,175.162,0.153,lowest_energy_0815_0001,,,,,,
SCORE:,-1253.538,10.076,0,-2734.754,487.502,-781.854,4.95,89.32,394.15,1629.607,-108.527,-92.108,-67.996,-199.53,-67.828,49.426,-89.564,1.033,48.321,174.083,0.153,lowest_energy_1815_0001,,,,,,
SCORE:,-1252.897,10.483,0,-2735.245,487.769,-781.191,4.94,89.548,394.634,1630.253,-108.056,-92.034,-68.193,-199.336,-68.192,49.596,-89.577,1.118,47.669,172.761,0.154,lowest_energy_0016_0001,,,,,,
SCORE:,-1252.685,10.29,0,-2736.118,488.737,-781.741,4.967,89.791,394.713,1631.364,-107.965,-91.981,-68.15,-199.348,-67.887,49.607,-89.75,1.071,47.95,171.611,0.153,lowest_energy_0012_0001,,,,,,
SCORE:,-1252.556,10.428,0,-2735.736,487.532,-779.652,4.96,89.375,394.477,1628.009,-107.91,-92.158,-68.139,-199.144,-67.976,50.039,-89.379,1.107,47.815,173.644,0.153,lowest_energy_0018_0001,,,,,,
SCORE:,-1252.503,10.336,0,-2736.464,487.623,-779.897,4.961,89.393,395.186,1628.265,-107.974,-92.111,-68.088,-199.092,-68.242,50.095,-89.346,1.091,47.964,173.644,0.153,lowest_energy_1801_0001,,,,,,
